round,size,time
83,5,0:00:00.000041
83,4,0:00:00.000019
83,3,0:00:00.000008
83,2,0:00:00.000005
84,20,0:00:06.837477
84,15,0:00:00.106722
84,10,0:00:00.002527
84,9,0:00:00.000970
84,8,0:00:00.000445
84,7,0:00:00.000192
84,6,0:00:00.000088
84,5,0:00:00.000040
84,4,0:00:00.000019
84,3,0:00:00.000009
84,2,0:00:00.000004
85,20,0:00:06.970043
85,15,0:00:00.107983
85,10,0:00:00.002291
85,9,0:00:00.001001
85,8,0:00:00.000458
85,7,0:00:00.000196
85,6,0:00:00.000090
85,5,0:00:00.000041
85,4,0:00:00.000019
85,3,0:00:00.000009
85,2,0:00:00.000005
86,20,0:00:06.840898
86,15,0:00:00.108412
86,10,0:00:00.002169
86,9,0:00:00.001003
86,8,0:00:00.000458
86,7,0:00:00.000197
86,6,0:00:00.000089
86,5,0:00:00.000041
86,4,0:00:00.000018
86,3,0:00:00.000009
86,2,0:00:00.000005
87,20,0:00:06.465972
87,15,0:00:00.108143
87,10,0:00:00.002161
87,9,0:00:00.000977
87,8,0:00:00.000481
87,7,0:00:00.000196
87,6,0:00:00.000089
87,5,0:00:00.000041
87,4,0:00:00.000018
87,3,0:00:00.000009
87,2,0:00:00.000005
88,20,0:00:07.073818
88,15,0:00:00.122745
88,10,0:00:00.002650
88,9,0:00:00.001190
88,8,0:00:00.000536
88,7,0:00:00.000228
88,6,0:00:00.000103
88,5,0:00:00.000047
88,4,0:00:00.000022
88,3,0:00:00.000010
88,2,0:00:00.000006
89,20,0:00:06.979923
89,15,0:00:00.110537
89,10,0:00:00.002320
89,9,0:00:00.000991
89,8,0:00:00.000462
89,7,0:00:00.000209
89,6,0:00:00.000089
89,5,0:00:00.000040
89,4,0:00:00.000018
89,3,0:00:00.000009
89,2,0:00:00.000005
90,20,0:00:07.630953
90,15,0:00:00.104247
90,10,0:00:00.002134
90,9,0:00:00.000943
90,8,0:00:00.000434
90,7,0:00:00.000185
90,6,0:00:00.000084
90,5,0:00:00.000039
90,4,0:00:00.000018
90,3,0:00:00.000008
90,2,0:00:00.000004
91,20,0:00:07.024796
91,15,0:00:00.104397
91,10,0:00:00.002195
91,9,0:00:00.000973
91,8,0:00:00.000447
91,7,0:00:00.000192
91,6,0:00:00.000088
91,5,0:00:00.000039
91,4,0:00:00.000017
91,3,0:00:00.000008
91,2,0:00:00.000005
92,20,0:00:06.979264
92,15,0:00:00.117724
92,10,0:00:00.002529
92,9,0:00:00.001113
92,8,0:00:00.000520
92,7,0:00:00.000221
92,6,0:00:00.000101
92,5,0:00:00.000045
92,4,0:00:00.000020
92,3,0:00:00.000010
92,2,0:00:00.000005
93,20,0:00:07.484391
93,15,0:00:00.103203
93,10,0:00:00.002172
93,9,0:00:00.000967
93,8,0:00:00.000441
93,7,0:00:00.000189
93,6,0:00:00.000086
93,5,0:00:00.000039
93,4,0:00:00.000018
93,3,0:00:00.000009
93,2,0:00:00.000004
94,20,0:00:06.680247
94,15,0:00:00.104296
94,10,0:00:00.002132
94,9,0:00:00.000972
94,8,0:00:00.000453
94,7,0:00:00.000191
94,6,0:00:00.000088
94,5,0:00:00.000040
94,4,0:00:00.000018
94,3,0:00:00.000009
94,2,0:00:00.000004
95,20,0:00:06.261973
95,15,0:00:00.104013
95,10,0:00:00.002110
95,9,0:00:00.000974
95,8,0:00:00.000452
95,7,0:00:00.000192
95,6,0:00:00.000087
95,5,0:00:00.000039
95,4,0:00:00.000018
95,3,0:00:00.000008
95,2,0:00:00.000005
96,20,0:00:06.758741
96,15,0:00:00.104812
96,10,0:00:00.002133
96,9,0:00:00.000963
96,8,0:00:00.000450
96,7,0:00:00.000199
96,6,0:00:00.000087
96,5,0:00:00.000040
96,4,0:00:00.000017
96,3,0:00:00.000008
96,2,0:00:00.000004
97,20,0:00:07.392096
97,15,0:00:00.122312
97,10,0:00:00.002799
97,9,0:00:00.001162
97,8,0:00:00.000535
97,7,0:00:00.000228
97,6,0:00:00.000105
97,5,0:00:00.000048
